"Add New Destination","Add New Destination"
"Save Destination","Save Destination"
"Delete Destination","Delete Destination"
"Save and Continue Edit","Save and Continue Edit"
"Destination Settings","Destination Settings"
Name,Name
"Assign a name to identify this destination in logs/profiles.","Assign a name to identify this destination in logs/profiles."
"Destination Type","Destination Type"
"--- Please Select ---","--- Please Select ---"
Status,Status
"Used in %1 profile(s)","Used in %1 profile(s)"
"Last Result Message","Last Result Message"
Continue,Continue
Configuration,Configuration
"Custom Type Configuration","Custom Type Configuration"
"Custom Class Identifier","Custom Class Identifier"
"You can set up an own class in our (or another) module which gets called when exporting. The saveFiles($fileArray ($filename => $contents)) function would be called in your class. If your class is called \Xtento\ProductExport\Model\Destination\Myclass then the identifier to enter here would be \Xtento\ProductExport\Model\Destination\Myclass","You can set up an own class in our (or another) module which gets called when exporting. The saveFiles($fileArray ($filename => $contents)) function would be called in your class. If your class is called \Xtento\ProductExport\Model\Destination\Myclass then the identifier to enter here would be \Xtento\ProductExport\Model\Destination\Myclass"
"E-Mail Export Configuration","E-Mail Export Configuration"
"E-Mail From Address","E-Mail From Address"
"Enter the email address that should be set as the sender of the email. ","Enter the email address that should be set as the sender of the email. "
"E-Mail Recipient Address","E-Mail Recipient Address"
"Enter the email address where exports should be sent to. Separate multiple emails using a comma.","Enter the email address where exports should be sent to. Separate multiple emails using a comma."
"E-Mail Subject","E-Mail Subject"
"Subject of email. Available variables: %d%, %m%, %y%, %Y%, %h%, %i%, %s%, %recordcount%, %exportid%","Subject of email. Available variables: %d%, %m%, %y%, %Y%, %h%, %i%, %s%, %recordcount%, %exportid%"
"E-Mail Text","E-Mail Text"
"Email text (body text). Available variables: %d%, %m%, %y%, %Y%, %h%, %i%, %s%, %exportid%, %recordcount%, %content% (%content% contains the data generated by the export)","Email text (body text). Available variables: %d%, %m%, %y%, %Y%, %h%, %i%, %s%, %exportid%, %recordcount%, %content% (%content% contains the data generated by the export)"
"Attach exported files to email","Attach exported files to email"
"Should exported files be attached to the email sent?","Should exported files be attached to the email sent?"
"FTP Configuration","FTP Configuration"
"SFTP Configuration","SFTP Configuration"
"<strong>Important</strong>: Only SFTPv3 servers are supported. Please make sure the server you're trying to connect to is a SFTPv3 server.","<strong>Important</strong>: Only SFTPv3 servers are supported. Please make sure the server you're trying to connect to is a SFTPv3 server."
"IP or Hostname","IP or Hostname"
"Server Type","Server Type"
"FTPS is only available if PHP has been compiled with OpenSSL support. Only some server versions are supported, support is limited by PHP.","FTPS is only available if PHP has been compiled with OpenSSL support. Only some server versions are supported, support is limited by PHP."
Port,Port
"Default Port: %1","Default Port: %1"
Username,Username
Password,Password
Timeout,Timeout
"Timeout in seconds after which the connection to the server fails","Timeout in seconds after which the connection to the server fails"
"Enable Passive Mode","Enable Passive Mode"
